feature_1,feature_2,mean_abs_interaction
Economic_Stability_Index_Weighted,Birth complications_Yes,0.001692304447086015
Birth complications_Yes,Age,0.0016824375916628428
Social_Support_Index_Weighted,Feeling about motherhood_Sad,0.0016786739827493013
Birth complications_Yes,Relationship with the in-laws_Neutral,0.0016576545629550046
Major changes or losses during pregnancy_Yes,Trust and share feelings_Yes,0.0016510204293210898
Feeling for regular activities_Not Reported,Age of immediate older children_Not Applicable (Only One Child),0.0016495618507439617
Relationship with the in-laws_Good,Age,0.0016300178790736718
Age,Age of immediate older children_Not Applicable (Only One Child),0.0016262220721201446
Relax/sleep when the newborn is asleep_Yes,Feeling for regular activities_Not Reported,0.0016197388701520738
Economic_Stability_Index_Weighted,Feeling about motherhood_Neutral,0.0016061954594509618
Neonatal_Delivery_Stress_Index_Weighted,Need for Support_Not Reported,0.0015804888443705267
Major changes or losses during pregnancy_Yes,Birth complications_Yes,0.0015660465907813322
Abuse_Yes,Birth complications_Yes,0.0015640355329070072
Neonatal_Delivery_Stress_Index_Weighted,Feeling for regular activities_Worried,0.0015556904850276897
Abuse_Yes,Feeling about motherhood_Sad,0.0015257395518000262
Neonatal_Delivery_Stress_Index_Weighted,Birth complications_Yes,0.0015008878723716075
Feeling for regular activities_Not Reported,Birth complications_Yes,0.0014754287442161032
Relationship with the in-laws_Good,Major changes or losses during pregnancy_Yes,0.0014711542138986845
Relationship with the in-laws_Neutral,Age,0.0014702489978826142
Major changes or losses during pregnancy_Yes,Relax/sleep when the newborn is asleep_Yes,0.0014697825154190423
Feeling for regular activities_Not Reported,Feeling about motherhood_Neutral,0.0014646863528941531
Maternal_MentalHealth_Risk_Index_Weighted,Feeling about motherhood_Sad,0.0014328386780173734
Angry after latest child birth_Yes,Birth complications_Yes,0.0014320409080306627
Relax/sleep when the newborn is asleep_Yes,Age of immediate older children_Not Applicable (Only One Child),0.001374418103464986
Relax/sleep when the newborn is asleep_Yes,Feeling for regular activities_Worried,0.0013266417151818473
Relationship with the in-laws_Good,Need for Support_Not Reported,0.001320037596160547
Economic_Stability_Index_Weighted,Need for Support_Not Reported,0.0013174715613167316
Depression during pregnancy (PHQ2)_Positive,Feeling about motherhood_Neutral,0.0013144166254354258
Relax/sleep when the newborn is asleep_Yes,Depression during pregnancy (PHQ2)_Positive,0.0013103582145407979
Relationship with the in-laws_Good,Age of immediate older children_Not Applicable (Only One Child),0.0013101728106272128
Major changes or losses during pregnancy_Yes,Relationship with the in-laws_Neutral,0.0012502106335449581
Major changes or losses during pregnancy_Yes,Feeling for regular activities_Worried,0.0012190243036126047
Economic_Stability_Index_Weighted,Feeling for regular activities_Worried,0.0011241626052116464
Age,Feeling for regular activities_Worried,0.0011213785787316647
Feeling about motherhood_Sad,Age of immediate older children_Not Applicable (Only One Child),0.0011160671569546365
Trust and share feelings_Yes,Depression during pregnancy (PHQ2)_Positive,0.0010838784168139897
Angry after latest child birth_Yes,Feeling about motherhood_Neutral,0.0010614445801880967
Need for Support_Not Reported,Age,0.0009944206457403822
Need for Support_Not Reported,Relationship with the in-laws_Neutral,0.0009779638370294374
Trust and share feelings_Yes,Age of immediate older children_Not Applicable (Only One Child),0.0009476766487329912
Major changes or losses during pregnancy_Yes,Age of immediate older children_Not Applicable (Only One Child),0.0009456357251315941
Major changes or losses during pregnancy_Yes,Need for Support_Not Reported,0.0009112417140759964
Relationship with the in-laws_Neutral,Feeling for regular activities_Worried,0.0008903394268542896
Birth complications_Yes,Age of immediate older children_Not Applicable (Only One Child),0.0008894278104294124
Relationship with the in-laws_Good,Birth complications_Yes,0.0008677226435941305
Relax/sleep when the newborn is asleep_Yes,Feeling about motherhood_Neutral,0.0008654883060816605
Depression during pregnancy (PHQ2)_Positive,Birth complications_Yes,0.0008622388249447733
Depression during pregnancy (PHQ2)_Positive,Age of immediate older children_Not Applicable (Only One Child),0.000844276205409066
Trust and share feelings_Yes,Birth complications_Yes,0.0008324556134714416
Depression during pregnancy (PHQ2)_Positive,Feeling for regular activities_Worried,0.0007946159861681216
Feeling about motherhood_Sad,Age,0.0007658427610563038
Neonatal_Delivery_Stress_Index_Weighted,Feeling about motherhood_Sad,0.0007259663121394269
Age of immediate older children_Not Applicable (Only One Child),Feeling for regular activities_Worried,0.0007239246513352228
Feeling about motherhood_Neutral,Age of immediate older children_Not Applicable (Only One Child),0.0006818910981130236
Trust and share feelings_Yes,Need for Support_Not Reported,0.0006722617904634899
Trust and share feelings_Yes,Feeling for regular activities_Worried,0.000637395232626753
Relax/sleep when the newborn is asleep_Yes,Need for Support_Not Reported,0.0006279818559750252
Economic_Stability_Index_Weighted,Feeling about motherhood_Sad,0.0006194941831276648
Relationship with the in-laws_Good,Feeling for regular activities_Worried,0.0006161242194153901
Feeling for regular activities_Not Reported,Feeling about motherhood_Sad,0.0006130200947713305
Need for Support_Not Reported,Birth complications_Yes,0.0006043360221552696
Need for Support_Not Reported,Age of immediate older children_Not Applicable (Only One Child),0.0005773651323782139
Feeling about motherhood_Sad,Need for Support_Not Reported,0.0005718478971691209
Major changes or losses during pregnancy_Yes,Feeling about motherhood_Sad,0.0005571744365121306
Depression during pregnancy (PHQ2)_Positive,Need for Support_Not Reported,0.0005457314246514431
Feeling about motherhood_Sad,Feeling about motherhood_Neutral,0.0005216738992217509
Trust and share feelings_Yes,Feeling about motherhood_Sad,0.0005017221128186406
Feeling about motherhood_Sad,Feeling for regular activities_Worried,0.0005011291037293151
Feeling about motherhood_Neutral,Feeling for regular activities_Worried,0.0004869438391556932
Depression during pregnancy (PHQ2)_Positive,Feeling about motherhood_Sad,0.00044530384288107665
Relationship with the in-laws_Good,Feeling about motherhood_Sad,0.0004038603188010956
Feeling about motherhood_Sad,Birth complications_Yes,0.00035766098861000754
Need for Support_Not Reported,Feeling about motherhood_Neutral,0.0003382529770767321
Need for Support_Not Reported,Feeling for regular activities_Worried,0.00032774414381023985
Feeling about motherhood_Sad,Relationship with the in-laws_Neutral,0.00028600747079261893
