feature_1,feature_2,mean_abs_interaction
Feeling for regular activities_Not Reported,Relax/sleep when the newborn is asleep_Yes,0.002336143406024063
Angry after latest child birth_Yes,Received Support_Medium,0.0023302482734423096
Feeling for regular activities_Not Reported,Relationship with husband_Good,0.0022968667733639365
Abuse_Yes,Diseases during pregnancy_No Disease,0.0021713708184512765
Received Support_Medium,Diseases during pregnancy_No Disease,0.0021661859408744423
Need for Support_Not Reported,Fear of pregnancy_Yes,0.002132683962192737
Relax/sleep when the newborn is asleep_Yes,Family type_Nuclear,0.002101415122159578
Feeling for regular activities_Not Reported,Depression before pregnancy (PHQ2)_Positive,0.002091523457248885
Worry about newborn_Yes,Family type_Nuclear,0.0020904126887679813
Family type_Nuclear,Diseases during pregnancy_No Disease,0.0020688356350099814
Worry about newborn_Yes,Fear of pregnancy_Yes,0.0020369528196046813
Trust and share feelings_Yes,Worry about newborn_Yes,0.0020188044717348004
Angry after latest child birth_Yes,Depression before pregnancy (PHQ2)_Positive,0.0020074364071503647
Neonatal_Delivery_Stress_Index_Weighted,Education Level_University,0.0020042209106218402
Social_Support_Index_Weighted,Depression before pregnancy (PHQ2)_Positive,0.0020006221148382015
Relationship with the in-laws_Good,Received Support_Medium,0.001988598748412746
Need for Support_Not Reported,Major changes or losses during pregnancy_Yes,0.0019610000562551274
Trust and share feelings_Yes,Family type_Nuclear,0.0019123370381779864
Feeling for regular activities_Not Reported,Trust and share feelings_Yes,0.001909850016273656
Abuse_Yes,Relationship with the in-laws_Good,0.001841326918689764
Family type_Nuclear,Received Support_Medium,0.0018301474051759254
Need for Support_Not Reported,Trust and share feelings_Yes,0.0018204754698909979
Major changes or losses during pregnancy_Yes,Trust and share feelings_Yes,0.0018068775458545208
Need for Support_Not Reported,Relationship with the in-laws_Good,0.0017833025682678673
Abuse_Yes,Received Support_Medium,0.0017792405994372454
Major changes or losses during pregnancy_Yes,Received Support_Medium,0.0017772136894399573
Worry about newborn_Yes,Received Support_Medium,0.0017665149157698773
Abuse_Yes,Trust and share feelings_Yes,0.001762606411711638
Abuse_Yes,Fear of pregnancy_Yes,0.0017453521972879168
Feeling for regular activities_Not Reported,Fear of pregnancy_Yes,0.0017225001423003378
Abuse_Yes,Relax/sleep when the newborn is asleep_Yes,0.0017141663166127228
